Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
09/10/2015,Completed,09/10/2015,15-04697777,Graffiti Removal,Metal - Painted,Garbage Cart,2431 W MORSE AVE,60645,1158860.88001618,1945731.97992145,50,24,2,,42.00670567475706,-87.69135873904878,"(42.00670567475706, -87.69135873904878)"
09/10/2015,Completed,09/10/2015,15-04695618,Graffiti Removal,Metal - Painted,Dumpster,5217 W FULLERTON AVE,60639,1141127.87997496,1915458.41149933,36,25,19,,41.923985870499244,-87.75683601207733,"(41.923985870499244, -87.75683601207733)"
09/10/2015,Completed,09/10/2015,15-04695637,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Rear,1101 N PAULINA ST,60622,1164852.06839565,1907666.79026867,1,12,24,33,41.90229099204936,-87.66976779461629,"(41.90229099204936, -87.66976779461629)"
09/10/2015,Completed,09/10/2015,15-04695608,Graffiti Removal,Metal - Painted,Pole,1200 W FLOURNOY ST,60607,1168504.39222905,1897123.01398086,28,12,28,,41.873343649132934,-87.65688666351984,"(41.873343649132934, -87.65688666351984)"
09/10/2015,Completed,09/10/2015,15-04697685,Graffiti Removal,Metal - Painted,Garbage Cart,2417 W MORSE AVE,60645,1158954.08001618,1945734.97992145,50,24,2,,42.00671548060325,-87.69083236540554,"(42.00671548060325, -87.69083236540554)"
09/10/2015,Completed,09/10/2015,15-04695613,Graffiti Removal,Metal - Painted,Dumpster,5010 N SAWYER AVE,60625,1153806.7246729,1933099.97769607,33,17,14,,41.97245263355815,-87.70995967005813,"(41.97245263355815, -87.70995967005813)"
09/10/2015,Completed,09/10/2015,15-04695636,Graffiti Removal,Brick - Painted,Front,4134 S WALLACE ST,60609,1172984.6273713,1877385.27020064,11,9,61,13,41.81926529001912,-87.6410948114725,"(41.81926529001912, -87.6410948114725)"
09/10/2015,Completed,09/10/2015,15-04706422,Graffiti Removal,Metal - Painted,Front,1417 W 18TH ST,60608,1167136.29077687,1891511.0746145,25,12,31,,41.857754803427525,-87.66200437049743,"(41.857754803427525, -87.66200437049743)"
09/10/2015,Completed,09/10/2015,15-04695634,Graffiti Removal,Metal - Painted,Pole,100 N OAKLEY BLVD,60612,1161066.9299684,1900634.44408323,27,12,28,,41.88307012787164,-87.68416127854371,"(41.88307012787164, -87.68416127854371)"
09/10/2015,Completed,09/10/2015,15-04695622,Graffiti Removal,Metal - Painted,Door,5359 W FULLERTON AVE,60639,1140178.35877517,1915435.86318655,36,25,19,,41.92393585644751,-87.76100386978773,"(41.92393585644751, -87.76100386978773)"
09/10/2015,Completed,09/10/2015,15-04695633,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Rear,1104 N MARSHFIELD AVE,60622,1165183.89882562,1907689.20651836,1,12,24,33,41.902446373027686,-87.66884594462333,"(41.902446373027686, -87.66884594462333)"
09/10/2015,Completed,09/10/2015,15-04695625,Graffiti Removal,Metal - Painted,Pole,34 N OAKLEY BLVD,60612,1161077.55666798,1900307.02171001,27,12,28,,41.882158979368015,-87.68413041120097,"(41.882158979368015, -87.68413041120097)"
09/10/2015,Completed,09/10/2015,15-04695630,Graffiti Removal,Brick - Painted,Front,4101 S HALSTED ST,60609,1171645.10999288,1877843.29996705,11,9,61,13,41.82022257480226,-87.64569091407796,"(41.82022257480226, -87.64569091407796)"
09/10/2015,Completed,09/10/2015,15-04695624,Graffiti Removal,Brick - Painted,Front,3538 S HALSTED ST,60609,1171551.43118031,1881272.28000571,11,9,60,,41.82961403527549,-87.64622776562892,"(41.82961403527549, -87.64622776562892)"
09/10/2015,Completed,09/10/2015,15-04695730,Graffiti Removal,Brick - Unpainted,Front,3453 S DAMEN AVE,60608,1163587.00240106,1881692.40006903,12,9,59,,41.830437133237034,-87.67513458197254,"(41.830437133237034, -87.67513458197254)"
09/10/2015,Completed,09/10/2015,15-04695718,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1341 N MILWAUKEE AVE,60622,1164568.40013374,1909101.61006739,1,14,24,33,41.90629886345595,-87.67085833484589,"(41.90629886345595, -87.67085833484589)"
